"","Compartment","Phylum","otu","mean","sd","se"
"1","bulk","p__Acidobacteria","OTU_17",0.173805404537612,0.018749611025956,0.00220966285017726
"2","bulk","p__Actinobacteria","OTU_34",0.116178012797429,0.0226512385484871,0.00266947406331823
"3","bulk","p__Aenigmarchaeota","OTU_18078",2.0981619921839e-06,1.08069798136078e-05,1.27361478505804e-06
"4","bulk","p__Aerophobetes","OTU_5288",2.08699626127461e-05,4.97321307146799e-05,5.86098781186766e-06
"5","bulk","p__Aminicenantes","OTU_7261",5.37903692935152e-06,1.44612065812492e-05,1.70426953962348e-06
"6","bulk","p__Armatimonadetes","OTU_359",0.00445471719823694,0.00107476650822514,0.000126662447693031
"7","bulk","p__Bacteroidetes","OTU_4",0.0941929286063,0.0285078087853129,0.0033596774848107
"8","bulk","p__Candidate division OP3","OTU_3338",0.000700517747160014,0.000434251805186964,5.11770660317003e-05
"9","bulk","p__Candidate division SR1","OTU_9059",5.1496798658068e-06,1.38737778118138e-05,1.63504039523483e-06
"10","bulk","p__Candidate division WS6","OTU_6584",2.62313525535699e-06,1.20830981006806e-05,1.42400676745559e-06
"11","bulk","p__Chlamydiae","OTU_1136",0.00155551633453179,0.000566656483917322,6.67811070635441e-05
"12","bulk","p__Chlorobi","OTU_470",0.0016029476467023,0.000532689011285688,6.27780020239445e-05
"13","bulk","p__Chloroflexi","OTU_75",0.0399002775617891,0.00549191759798577,0.00064722869587558
"14","bulk","p__Cloacimonetes","OTU_7427",3.43254736002726e-06,1.69400143675958e-05,1.99639983878742e-06
"15","bulk","p__Cyanobacteria","OTU_1364",0.00100769786922027,0.000377920853608545,4.45383997230684e-05
"16","bulk","p__Deferribacteres","OTU_13340",2.668011462278e-06,1.19628162445337e-05,1.4098314147664e-06
"17","bulk","p__Deinococcus-Thermus","OTU_1575",5.17869783166449e-05,7.92354932221686e-05,9.33799242800936e-06
"18","bulk","p__Diapherotrites","OTU_4289",9.07625511139342e-06,1.8873218240338e-05,2.22423010009277e-06
"19","bulk","p__Elusimicrobia","OTU_1530",0.00262618119301373,0.000790668340468005,9.318115753574e-05
"20","bulk","p__Euryarchaeota","OTU_1270",0.000295364940907192,0.00021452239581022,2.52817067989652e-05
"21","bulk","p__Fibrobacteres","OTU_1719",0.000240003649023753,0.000143166018166892,1.68722770468809e-05
