"","Soil","Phylum","otu","mean","sd","se"
"1","Conv.","p__Acidobacteria","OTU_17",0.156186016962462,0.0358411279171464,0.00348119808368625
"2","Conv.","p__Actinobacteria","OTU_34",0.0945805180689131,0.0374333784623096,0.00363585112807102
"3","Conv.","p__Aenigmarchaeota","OTU_18078",1.00715568459115e-06,6.2280197621931e-06,6.0491875454998e-07
"4","Conv.","p__Aerophobetes","OTU_5288",1.70649684101782e-05,2.92581137600055e-05,2.84179922543339e-06
"5","Conv.","p__Aminicenantes","OTU_7261",2.37585420226203e-06,1.03694954652049e-05,1.00717443451312e-06
"6","Conv.","p__Armatimonadetes","OTU_359",0.00553079860249644,0.0020231363909319,0.000196504377413265
"7","Conv.","p__Bacteroidetes","OTU_4",0.1372920603623,0.0759145656389978,0.00737347443521512
"8","Conv.","p__Candidate division OP3","OTU_3338",0.000449600176507511,0.000426379540838871,4.14136420015178e-05
"9","Conv.","p__Candidate division SR1","OTU_9059",1.24052147046648e-06,5.715284179593e-06,5.55117472299281e-07
"10","Conv.","p__Candidate division WS6","OTU_6584",2.78344579808095e-06,1.1662296921663e-05,1.13274241226239e-06
"11","Conv.","p__Chlamydiae","OTU_1136",0.00129288127391605,0.000743372605528168,7.22027302213193e-05
"12","Conv.","p__Chlorobi","OTU_470",0.00153137577455505,0.000588809446156045,5.71902290673777e-05
"13","Conv.","p__Chloroflexi","OTU_75",0.03220463947143,0.0124127061723958,0.00120562860188428
"14","Conv.","p__Cloacimonetes","OTU_7427",0,0,0
"15","Conv.","p__Cyanobacteria","OTU_1364",0.00116400061809194,0.000643219104945984,6.24749623032128e-05
"16","Conv.","p__Deferribacteres","OTU_13340",1.59320103461549e-06,1.03662513353373e-05,1.00685933676552e-06
"17","Conv.","p__Deinococcus-Thermus","OTU_1575",9.22429861970625e-05,0.000176910117817737,1.71830296344325e-05
"18","Conv.","p__Diapherotrites","OTU_4289",1.05939609609162e-05,2.49237630313191e-05,2.42080986690629e-06
"19","Conv.","p__Elusimicrobia","OTU_1530",0.00245806403125722,0.00106766267715828,0.000103700566409035
"20","Conv.","p__Euryarchaeota","OTU_1270",0.000137654020901757,0.000132918274750357,1.2910164111394e-05
"21","Conv.","p__Fibrobacteres","OTU_1719",0.000382723343174287,0.000511260587884782,4.96580180992953e-05
"22","Conv.","p__Firmicutes","OTU_82",0.0123683002928195,0.00635231206550065,0.000616991090250225
"23","Conv.","p__Fusobacteria","OTU_22775",4.56800093441173e-06,1.36821566802514e-05,1.32892853500852e-06
"24","Conv.","p__Gemmatimonadetes","OTU_79",0.0211857746200904,0.00694900140377523,0.000674946682098767
