#OTU ID	MD17	MD88	MD21	MF2	MDP25	MD138	MD116	MDP3	MD34	MD132	MDP67	MD31	MD71	MD65	MD54	MDP4	MDP14	MD53	MD131	B3-A03	MD97	MDP45	MD23	MD143	MDP64	MD50	MD139	MD11	MDP8	MDP34	MD9	MD130	MD29	MD92	MD36	MD113	MDP39	MD35	MD115	MF1	MD72	MD5	MDP30	MDP37	MD56	MD27	MD67	MD95	MDP60	MD75	MDP58	MD91	MD7	MDP7	MDP63	MD44	MD101	MD58	MDP13	MDP47	MD78	MDP31	MD98	MDP53	MD125	MDP36	MD110	MDP24	MDP68	MD142	MD109	MD94	MDP23	MDP66	MDP40	MD15	MD51	MD63	MD38	MD61	MD90	MDP41	MDP65	MDP48	MD55	MD45	MD77	MD22	MD74	MD16	MD10	MDP18	MD141	MDP61	MDP62	MD25	MDP55	MDP9	MD107	MD112	MD79	MDP46	MD39	MDP5	MD2	MDP57	MD24	MD100	MD87	MD122	MD26	MDP52	MDP32	MD1	MDP56	MD82	MDP11	MDP70	MD102	MD120	MDP49	MDP50	MDP6	MDP54	MD30	MD49	MDP27	MD76	MD136	MDP43	MD128	MD85	MD133	MD60	MD19	MD48	MDP59	MD59	MD40	MDP15	MD134	MD124	MD144	MD4	MD123	MD96	MD13	MD33	MD104	MDP22	MD117	MD80	MD42	MDP10	MD86	MD70	MD8	MD57	MDP72	MD6	MD99	MD84	MD47	MD111	MD121	MD52	MD37	MD106	MD41	MD118	MD3	MDP12	MD140	MD64	MD14	MD43	MD46	MDP44	B3-A01	MDP26	MD93	MD20	MD32	B3-A02	MD108	MD126	MD114	MD66	MD28	MD137	MDP42	MDP71	MDP20	MD127	MF3	MDP19	MDP2	MDP69	MD12	MD105	MDP21	MD119	MD89	B1-A02	MD69	MD129	MD103	MDP17	MD81	MD62	MDP33	MD135	MD18	MDP35	MD83	taxonomy
OTU_1	1371	1	193	0	27	1237	69	5371	1569	1143	2732	510	365	488	1132	861	6753	1094	444	94	218	354	677	521	3141	216	218	2386	1034	1311	857	257	576	109	384	447	5121	661	182	1	325	1567	1565	2131	730	148	1407	683	1114	830	434	199	461	8368	404	62	1304	632	266	820	344	16380	241	1427	283	3486	158	7637	763	544	151	3107	12545	12	3183	468	273	1747	646	688	405	3226	552	2330	872	580	298	825	359	1667	451	811	35	715	273	566	653	4391	288	28	257	1961	1857	2740	2846	1890	425	772	146	15	703	296	2581	789	2894	576	2805	945	451	109	1981	3033	6940	1742	260	3385	2798	775	109	1277	328	288	197	233	697	288	1915	408	1069	567	431	121	18	610	13	38	1335	273	43	4011	121	694	487	3768	615	827	1170	37	1125	4354	229	1058	200	833	1384	241	440	119	2657	189	711	2907	322	127	1942	521	1368	4183	134	2374	167	500	418	0	304	165	57	417	468	607	1192	0	1064	248	8	1264	7209	452	1234	70	4194	383	1079	0	138	295	282	3064	317	384	1617	430	37	7372	542	k__Fungi,p__Zygomycota,c__Mortierellomycotina_cls_Incertae_sedis,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__?
OTU_3	441	743	546	3639	13	181	448	923	599	617	262	814	433	382	673	3033	3152	997	679	1	703	131	295	878	191	1491	825	355	1909	1449	763	303	231	1307	417	259	610	375	290	2489	200	389	703	530	1462	109	383	656	155	624	148	1659	479	1418	202	1119	474	523	1535	265	443	4164	1182	147	346	1561	270	1594	185	248	676	118	2030	1	321	1175	1083	705	1352	671	431	458	67	317	718	261	278	304	584	682	225	1278	1051	243	116	501	184	820	185	314	558	315	1864	2170	2281	253	512	351	713	295	592	373	2153	1698	278	333	2208	305	155	391	693	283	735	253	199	2105	701	153	84	580	1474	601	778	190	1598	335	387	637	778	422	353	298	102	463	591	529	626	602	653	1190	335	612	1344	7498	523	429	662	755	127	2112	1483	199	57	865	2366	588	1667	373	1066	243	706	5551	207	1283	1691	1011	1580	396	0	1199	1076	1012	769	0	353	211	57	498	133	253	203	0	536	995	5421	2793	1901	148	373	563	1450	397	496	0	853	680	408	2949	659	877	2393	321	455	1625	327	k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__?
OTU_2	67	360	98	5	53	99	1527	1237	27	74	456	55	51	35	1073	696	321	242	191	3	365	1023	23	251	1675	1197	248	197	1370	2790	369	706	14	358	20	1263	2089	5	468	5	18	383	1631	1851	179	32	40	68	1263	425	2587	271	109	1429	3191	812	45	21	717	824	150	2213	497	651	229	2189	520	1472	889	55	1715	3	996	16	937	97	818	146	749	60	4103	1079	341	561	288	114	308	27	870	102	21	597	1076	3197	4844	73	1574	1728	96	1227	1393	1085	1778	177	314	2388	94	44	887	246	117	735	2696	204	2053	351	456	1043	3	574	1480	716	89	1548	63	828	3092	694	145	2216	2746	256	389	603	521	90	2437	20	415	567	202	564	217	30	671	31	125	108	47	2681	520	630	412	1782	1675	50	261	132	1137	61	524	102	25	2110	788	171	1038	44	452	880	409	2187	196	36	206	552	311	1492	3	2476	301	185	51	0	65	352	178	5	39	37	691	0	1227	2144	4	8841	1268	2214	197	104	7027	439	162	0	956	854	15	717	599	225	5266	238	104	2165	187	k__Fungi,p__Ascomycota,c__?,o__?,f__?,g__?,s__?
OTU_4	77	48	248	1	16	31	1871	80	173	190	4560	630	87	43	102	41	166	102	100	0	311	287	119	302	3782	396	196	80	125	117	204	264	19	375	68	712	966	50	1972	0	31	85	21	527	270	36	84	135	3275	361	1810	280	301	81	3747	152	84	123	70	345	234	245	488	556	1017	153	1142	114	3577	11	2203	21	40	69	221	185	1406	177	226	115	288	501	529	123	370	46	64	141	298	253	8	65	275	4117	4363	168	3762	107	66	932	609	221	779	5	360	4920	45	116	1308	1480	223	108	361	357	2930	453	12	562	42	1271	759	612	7	1074	30	807	88	70	54	1043	432	644	248	42	326	17	3797	42	186	34	186	148	39	44	1649	47	461	179	127	181	1270	666	49	58	410	22	664	163	4671	62	511	83	6	2815	368	75	571	22	84	341	263	24	188	87	778	461	98	451	2	151	332	292	130	0	45	557	269	51	86	87	325	0	46	235	4	511	125	3541	112	109	341	542	174	0	290	227	54	46	257	446	1129	110	90	536	78	k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__?,s__?
OTU_5	632	486	679	0	9	979	723	440	587	495	154	925	394	426	337	246	238	477	393	0	1569	165	571	1121	515	391	548	1057	289	680	1410	384	526	758	401	372	360	842	626	0	544	381	386	495	664	338	501	650	101	529	232	349	984	666	246	525	520	687	91	348	1810	749	543	217	628	531	255	416	244	207	401	620	681	5	330	480	647	2179	525	716	686	332	167	188	816	481	266	628	176	795	226	92	754	412	153	1030	311	307	518	246	768	293	782	57	824	378	604	313	488	204	1137	276	252	811	330	392	480	568	270	331	279	108	136	121	771	1238	295	189	261	682	746	1370	920	159	1339	583	161	581	1084	122	768	194	158	818	306	194	971	891	410	1392	552	468	418	204	176	423	743	998	154	776	2486	374	60	943	474	1153	966	205	847	380	920	780	460	529	1440	792	701	665	0	574	1522	659	695	0	63	381	20	593	449	681	278	0	150	407	0	584	201	197	700	209	411	465	443	0	525	727	514	174	797	761	841	416	286	348	650	k__Fungi,p__Zygomycota,c__Mortierellomycotina_cls_Incertae_sedis,o__Mortierellales,f__?,g__?,s__?
OTU_9	1765	1435	308	1	16	305	254	216	448	623	475	1099	829	270	853	48	284	751	393	0	472	158	836	2522	50	1049	800	116	197	309	884	433	149	281	1307	649	303	568	187	0	320	301	81	377	473	167	632	619	107	620	198	230	303	515	159	893	889	419	223	45	386	268	731	121	213	450	339	271	233	230	1231	457	230	1	112	4145	870	1429	926	830	366	248	23	19	1086	475	617	55	92	361	55	550	688	126	121	349	428	251	355	424	567	69	526	73	214	168	1110	203	1293	357	1108	266	328	557	264	190	190	394	189	108	567	447	37	255	357	642	110	94	70	397	329	607	519	320	1621	207	195	314	189	225	1215	239	209	27	821	658	438	1458	706	98	247	902	300	48	1551	511	1561	118	211	663	1197	140	20	406	323	608	735	131	200	78	268	120	222	91	919	624	397	470	763	688	406	203	912	64	413	181	183	361	146	132	140	0	99	214	0	425	103	405	100	969	232	424	667	0	866	161	379	333	520	638	940	251	1036	552	75	k__Fungi,p__?,c__?,o__?,f__?,g__?,s__?
OTU_6	420	654	746	1	1	451	447	47	1165	596	29	1493	700	404	619	49	61	438	1204	0	1177	20	1290	1032	32	828	979	447	40	158	598	724	294	2132	412	483	76	408	253	0	294	735	53	107	1061	195	560	1065	57	659	93	763	508	26	34	269	546	1993	22	54	634	142	839	39	258	54	169	88	43	262	633	549	160	0	113	560	787	699	515	481	418	102	9	6	830	204	407	1490	408	800	178	22	1323	33	22	517	36	57	285	739	513	44	615	16	754	41	1853	693	689	416	870	56	59	424	56	333	22	79	195	302	85	23	17	21	618	1073	16	534	193	79	817	715	439	497	1141	349	64	1340	2629	16	321	379	119	966	501	1021	723	1107	1132	263	284	377	439	8	491	690	716	649	31	1070	951	311	19	946	617	509	767	364	782	264	362	36	424	386	1366	555	408	65	0	46	1235	977	812	0	256	123	118	599	346	524	39	0	27	627	1	69	31	32	392	728	81	238	413	0	686	606	649	43	398	573	124	269	510	70	332	k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Tremellales_fam_Incertae_sedis,g__Cryptococcus,s__Cryptococcus_aerius_SH190019.07FU
OTU_7	642	104	453	0	12	462	189	917	843	990	147	414	229	368	517	113	298	588	359	0	250	88	620	730	259	668	552	302	187	582	391	525	256	901	548	619	363	897	173	1	234	648	260	388	674	79	373	857	200	500	212	45	415	364	72	192	480	994	218	91	681	617	108	331	399	1104	235	701	159	199	116	2863	702	4	210	1281	798	791	508	857	399	431	31	146	648	145	166	438	208	834	247	218	419	173	103	733	205	420	1121	284	292	302	372	206	587	263	486	673	238	215	153	143	315	853	465	553	222	132	143	218	248	111	165	91	665	495	88	423	116	291	404	490	601	271	812	259	210	459	1323	115	259	93	77	1225	281	559	762	970	488	1206	146	327	602	152	262	567	1034	512	228	1465	362	440	33	532	172	516	528	132	412	172	700	371	1022	507	1036	965	882	463	1	298	1344	588	1365	0	136	763	57	592	265	220	294	0	182	64	2	395	399	178	1294	74	357	257	412	0	394	584	174	372	289	299	1393	370	355	685	337	k__Fungi,p__Zygomycota,c__Mortierellomycotina_cls_Incertae_sedis,o__Mortierellales,f__Mortierellaceae,g__?,s__?
OTU_8	6	284	0	2	3	195	764	46	0	2	1765	4	2	4	7	6	51	9	30	0	13	35	1	18	6469	32	142	1	24	28	4	403	0	14	1	1875	77	2	342	1	0	9	6	42	1	0	3	4	3874	140	8146	4	1	52	3479	7	0	3	13	51	6	20	107	48	448	39	185	18	1188	1	1160	0	16	115	27	2	41	1	16	1	5	36	1077	132	2	1	11	0	14	0	0	11	526	1947	3036	1	2040	8	970	1949	101	73	15	15	3	1712	0	6	7	323	0	197	115	5	1672	16	11	10000	0	1651	110	46	0	82	0	16	29	20	16	85	20	29	75	4	3	1	6184	1	9	9	0	3386	103	4	567	0	17	5	3	86	1208	38	9	3	13	4	0	1	7356	4	6	26	1	578	16	18	20	10	3	1178	12	33	538	2	7	20	9	85	1	14	36	1	0	1	27	1345	653	1	1	812	34	1	8	50	4	39	44	2236	4	4	49	2098	51	0	2	147	0	15	31	2	79	11	14	22	14	k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae,g__?,s__?
OTU_101	594	68	3	1	2	245	83	278	15	21	83	116	107	40	453	357	35	331	65	0	105	231	3	94	603	205	17	200	309	709	104	417	3	43	21	745	442	4	42	0	75	451	1691	506	40	18	13	50	515	17	789	305	27	651	316	74	22	55	46	631	154	1800	71	505	78	1828	133	1247	200	18	322	9	1267	8	403	43	231	101	111	38	740	475	118	398	21	17	99	10	106	11	21	841	162	304	227	18	300	147	9	485	258	656	453	978	157	559	17	43	86	80	4	201	827	84	552	229	678	189	7	511	196	30	107	631	36	138	709	112	99	436	94	68	140	36	168	66	1599	49	150	76	8	70	20	5	44	78	29	7	2	2703	72	44	344	5463	75	7	35	157	593	412	322	286	22	264	291	33	314	2	150	196	91	977	1	30	129	54	522	221	0	335	220	22	17	0	16	49	50	21	62	39	400	0	159	147	2	1887	412	173	134	6	1482	324	457	0	39	112	3	2622	48	103	518	18	55	1745	111	k__Fungi,p__Ascomycota,c__?,o__?,f__?,g__?,s__?
